time,latitude,longitude,depth,mag,,
2020-05-11T13:36:27.051Z,4.4965,127.7023,109.21,4.5,,6.8
2020-05-11T06:15:47.751Z,-21.0933,-70.3676,43.69,4.5,,
2020-05-11T01:06:18.684Z,-6.0661,129.9186,10,5.6,,
2020-05-11T00:57:45.606Z,31.0182,141.938,10,4.6,,
2020-05-10T23:58:33.746Z,36.3796,141.1547,30.41,5.8,,
2020-05-10T23:30:03.546Z,-23.0994,-179.0123,340.07,4.6,,
2020-05-10T23:10:00.210Z,2.4112,-77.3265,92.49,4.5,,
2020-05-10T22:07:40.370Z,33.0183333,-116.0201667,10.16,4.54,,
2020-05-10T18:04:22.484Z,-22.7535,-68.1578,117.94,5.5,,
2020-05-10T17:50:03.205Z,36.5718,70.9073,204.8,4.6,,
2020-05-10T16:49:12.440Z,40.7597,78.8305,10,4.7,,
2020-05-10T07:16:19.651Z,77.2603,6.7861,10,4.5,,
2020-05-10T05:04:01.017Z,-24.0377,-175.692,35,4.8,,
2020-05-10T04:46:01.831Z,49.5585,-127.6258,10,4.7,,
2020-05-10T03:35:16.526Z,44.482,149.0221,32.33,4.5,,
2020-05-10T02:34:08.599Z,-7.4078,128.0982,172.94,4.6,,
2020-05-10T00:57:26.820Z,1.8238,127.4597,137.62,4.5,,
2020-05-09T23:35:12.977Z,-11.6318,165.0801,10,4.9,,
2020-05-09T21:42:56.325Z,-19.194,-69.2026,133.47,4.6,,
2020-05-09T19:18:11.884Z,14.0476,120.525,86.86,5.3,,
2020-05-09T15:35:58.629Z,40.7586,78.8225,10,5.3,,
2020-05-09T14:02:03.808Z,54.3135,-163.4527,70.19,4.7,,
2020-05-09T13:30:06.763Z,10.5356,-62.5105,87.24,4.5,,
2020-05-09T13:18:39.406Z,-54.6389,158.799,10,4.8,,
2020-05-09T11:19:43.275Z,15.0061,122.5782,36.28,4.6,,
2020-05-09T11:14:45.004Z,-9.6212,125.0702,43.06,4.5,,
2020-05-09T10:52:52.066Z,37.3766,20.5134,12.15,4.8,,
2020-05-09T09:39:29.368Z,34.0319,25.4924,23.64,4.7,,
2020-05-09T05:49:13.099Z,-7.0462,129.5004,149.84,5.1,,
2020-05-09T04:27:41.027Z,-5.7031,-76.6614,44.56,4.6,,
2020-05-09T03:46:19.063Z,-4.884,153.6081,68.91,5.1,,
2020-05-08T23:36:28.415Z,33.7864,25.5857,10,4.5,,
2020-05-08T22:42:06.952Z,-23.2277,-68.8371,84.86,5,,
2020-05-08T20:45:30.685Z,-29.4704,76.5147,10,5.5,,
2020-05-08T13:41:19.442Z,-16.8853,167.3057,43.01,4.7,,
2020-05-08T11:27:31.497Z,-0.4841,67.288,10,4.7,,
2020-05-08T10:27:36.729Z,12.3093,144.0447,10,5.2,,
2020-05-08T03:14:24.752Z,34.1021,25.5657,21.17,4.8,,
