time,mag,latitude,longitude,depth,,
2020-05-12T12:22:08.890Z,1.86,19.1956673,-155.4726715,32.63,,6.8
2020-05-12T12:21:47.118Z,1.3,59.8713,-152.5514,80.7,,
2020-05-12T12:15:29.053Z,1,60.0476,-151.4976,67.8,,
2020-05-12T12:12:43.100Z,0.55,38.8226662,-122.8115005,2.96,,
2020-05-12T12:09:25.660Z,2.27,38.027832,-118.7963333,2.62,,
2020-05-12T12:09:25.210Z,1.7,33.4735,-116.7991667,5.09,,
2020-05-12T12:07:53.550Z,1.03,34.082,-117.2938333,14.17,,
2020-05-12T11:54:26.310Z,1.3,37.4768,-115.5968,1.3,,
2020-05-12T11:49:34.630Z,2.76,47.56133333,-122.5868333,26.51,,
2020-05-12T11:49:09.734Z,1.3,63.182,-150.8469,35.1,,
2020-05-12T11:41:58.830Z,2.01,19.2205009,-155.3773346,31.51,,
2020-05-12T11:40:51.330Z,0.55,38.8251648,-122.7991638,2.79,,
2020-05-12T11:38:39.280Z,0.84,33.1835,-116.3328333,10.91,,
2020-05-12T11:29:53.290Z,3.47,17.8723,-66.8895,12,,
2020-05-12T11:29:21.150Z,1.86,18.8439999,-155.2174988,9.74,,
2020-05-12T11:23:37.080Z,0.52,33.2963333,-116.7361667,12.13,,
2020-05-12T11:21:38.406Z,1.4,60.528,-151.0231,41.6,,
2020-05-12T11:12:23.080Z,3.18,18.854,-155.2098333,10.22,,
2020-05-12T11:11:35.420Z,1.8,59.9864,-153.3957,180.5,,
2020-05-12T11:09:10.618Z,1.2,60.9742,-150.8556,35.2,,
2020-05-12T10:47:53.450Z,0.34,38.8413315,-122.8375015,1.45,,
2020-05-12T10:18:37.941Z,0.9,61.9436,-149.3024,10.3,,
2020-05-12T10:11:28.664Z,1.9,56.504,-156.4064,71.3,,
2020-05-12T10:07:45.370Z,0.55,38.8255005,-122.8028336,2.06,,
2020-05-12T10:03:13.381Z,1.55,36.53940582,-98.62683105,5.226570606,,
2020-05-12T09:51:26.230Z,1.6,33.0221667,-116.0021667,6.33,,
2020-05-12T09:45:37.139Z,1.4,62.8182,-149.6448,67.4,,
2020-05-12T09:42:36.020Z,1.3,33.1608333,-115.9776667,3.61,,
2020-05-12T09:31:07.020Z,1.87,19.0485,-155.4323333,42.83,,
2020-05-12T09:22:55.510Z,1.19,35.807,-117.621,6.08,,
2020-05-12T09:19:54.510Z,1.92,19.4309998,-155.5956726,-0.93,,
2020-05-12T09:15:53.582Z,1.8,66.2641,-157.2149,0.8,,
2020-05-12T09:08:48.980Z,0.82,33.3513333,-116.3031667,10.87,,
2020-05-12T09:08:04.790Z,1.4,37.443,-115.4908,9.5,,
2020-05-12T09:05:34.980Z,2.15,18.8726673,-155.1838379,10.32,,
2020-05-12T08:57:15.860Z,1.2,66.2963,-157.1638,8.4,,
2020-05-12T08:52:56.740Z,1.47,36.5566673,-121.1508331,7.01,,
2020-05-12T08:51:50.550Z,2.64,19.441,-155.6208344,-0.71,,
2020-05-12T08:40:29.463Z,1.8,62.9628,-151.0197,114.3,,
2020-05-12T08:37:11.456Z,1.12,35.9627037,-97.2339859,3.69047308,,
2020-05-12T08:34:44.990Z,1.5,38.1508,-118.8215,2.4,,
2020-05-12T08:31:07.430Z,1.24,32.9945,-116.04,1.75,,
2020-05-12T08:16:38.174Z,1.3,61.0672,-151.0136,33.3,,
2020-05-12T08:09:08.820Z,1.12,36.148,-117.9388333,5.08,,
2020-05-12T08:04:29.550Z,1.5,36.1406667,-117.923,4.19,,
2020-05-12T07:48:32.610Z,2.13,41.012001,-123.3785019,6.35,,
2020-05-12T07:45:11.267Z,1.4,59.3483,-152.5014,57.7,,
2020-05-12T07:27:54.380Z,2.91,18.8631667,-155.2206667,10.43,,
2020-05-12T07:19:29.700Z,4.7,-4.482,144.5109,146.7,,
2020-05-12T07:16:24.860Z,2.21,18.8786659,-155.1869965,11.35,,
2020-05-12T07:10:04.920Z,1.19,36.1135,-117.901,3.88,,
2020-05-12T07:02:33.010Z,0.82,33.5005,-116.7843333,4.1,,
2020-05-12T07:01:11.850Z,1.99,19.4821663,-155.5928345,-2.35,,
2020-05-12T06:48:40.904Z,4.4,6.7502,-72.9388,164.59,,
2020-05-12T06:43:17.422Z,0.6,61.2746,-142.0519,17.7,,
2020-05-12T06:32:12.780Z,1.3,37.3711662,-121.7318344,6.49,,
2020-05-12T06:27:36.270Z,1.6,37.3357,-115.4593,0.4,,
2020-05-12T06:23:54.360Z,3.22,18.9336662,-155.1893311,7.3,,
2020-05-12T06:21:36.310Z,0.88,35.8021667,-117.6338333,5.21,,
2020-05-12T06:13:29.800Z,1.2,62.2261,-150.1089,14.5,,
2020-05-12T06:13:23.600Z,0.89,38.8181648,-122.7898331,1.82,,
2020-05-12T06:12:19.650Z,2.65,18.9003333,-155.2183333,11.09,,
2020-05-12T06:11:46.480Z,2.17,19.2151661,-155.4048309,30.11,,
2020-05-12T06:06:52.783Z,1.2,63.1411,-147.6688,11.4,,
2020-05-12T05:49:52.030Z,2.78,18.8913333,-155.1403333,8.84,,
2020-05-12T05:34:47.130Z,2.23,18.9011667,-155.1548333,10.39,,
2020-05-12T05:31:31.420Z,3.05,17.9585,-66.8151,10,,
2020-05-12T05:29:34.570Z,2.2,37.3505,-115.4458,0.5,,
2020-05-12T05:21:55.100Z,1.8,19.2133333,-155.4015,32.2,,
2020-05-12T05:21:08.400Z,2.33,19.1476669,-155.4463348,31.38,,
2020-05-12T05:20:47.987Z,0.7,64.9192,-148.6887,16.7,,
2020-05-12T05:19:01.340Z,0.74,35.7116667,-117.5795,7.41,,
2020-05-12T05:15:30.448Z,4.6,-6.7656,129.6452,168.86,,
2020-05-12T05:15:16.610Z,2.36,18.9273333,-155.1731667,6.38,,
2020-05-12T05:11:08.970Z,1.61,33.0083333,-116.0271667,1.47,,
2020-05-12T05:07:04.420Z,2.89,19.1935005,-155.4648285,33.27,,
2020-05-12T05:05:43.327Z,1.6,69.6764,-144.7759,3,,
2020-05-12T05:03:38.970Z,1.78,37.6071663,-119.0175018,21.47,,
2020-05-12T04:54:41.320Z,0.72,38.8223343,-122.767334,2.19,,
2020-05-12T04:51:43.740Z,3.34,18.9206667,-155.1893333,10.69,,
2020-05-12T04:51:41.320Z,1.07,35.8801667,-117.6723333,6.38,,
2020-05-12T04:49:50.550Z,2.72,18.9051667,-155.1618333,10.8,,
2020-05-12T04:49:05.044Z,1.2,67.2148,-156.1586,0,,
2020-05-12T04:45:51.980Z,0.81,35.8846667,-117.681,3.85,,
2020-05-12T04:45:00.220Z,2.66,18.8638333,-155.1455,10.21,,
2020-05-12T04:44:54.730Z,0.37,38.8175011,-122.8181686,1.52,,
2020-05-12T04:41:21.570Z,0.55,38.8263321,-122.7956696,2.66,,
2020-05-12T04:33:39.350Z,1.78,38.8168335,-122.8208313,2.67,,
2020-05-12T04:29:35.890Z,1.1,61.3185,-150.1155,39.1,,
2020-05-12T04:26:25.830Z,2.21,19.1881676,-155.4626617,34.07,,
2020-05-12T04:23:07.300Z,1.48,33.0161667,-116.0091667,7.18,,
2020-05-12T04:12:36.680Z,3,18.8975,-155.2165,11.25,,
2020-05-12T04:08:28.610Z,2.29,18.8786659,-155.1953278,10.94,,
2020-05-12T04:07:34.314Z,0.9,64.858,-147.5183,16.1,,
2020-05-12T04:01:23.940Z,2.2,19.1835003,-155.4640045,35.02,,
2020-05-12T03:59:16.870Z,1.7,38.1845,-118.575,8.6,,
2020-05-12T03:58:46.450Z,0.84,38.8083344,-122.8154984,2.47,,
2020-05-12T03:58:09.920Z,3.82,18.8835,-155.1731667,6.91,,
2020-05-12T03:40:06.960Z,1.44,33.6778333,-116.699,14.92,,
2020-05-12T03:40:04.080Z,0.68,33.6756667,-116.6973333,15.78,,
2020-05-12T03:40:03.750Z,3.42,18.8995,-155.1823333,8.66,,
2020-05-12T03:38:48.770Z,0.97,33.681,-116.6986667,17.24,,
2020-05-12T03:37:39.744Z,3.1,60.2219,-150.9353,35.1,,
2020-05-12T03:31:55.900Z,2.79,18.9198333,-155.1888333,10.68,,
2020-05-12T03:24:31.700Z,2.69,18.9256668,-155.1748352,7.18,,
2020-05-12T03:24:21.080Z,1.11,35.6966667,-117.4815,4.72,,
2020-05-12T03:19:50.160Z,2.27,18.8945007,-155.2111664,10.35,,
2020-05-12T03:19:21.920Z,1.4,69.1789,-144.8432,0,,
2020-05-12T03:11:46.638Z,1.7,63.3471,-150.5022,114,,
2020-05-12T03:08:57.670Z,0.55,38.8201675,-122.7945023,3.48,,
2020-05-12T03:03:23.050Z,2.09,18.9043331,-155.2129974,11.64,,
2020-05-12T02:54:47.274Z,0.9,61.2377,-151.6282,64.1,,
2020-05-12T02:54:29.310Z,2.6,18.9118333,-155.1838333,5.41,,
2020-05-12T02:51:23.960Z,1.8,37.7374992,-122.5611649,8.97,,
2020-05-12T02:46:47.300Z,3.3,33.0099983,-116.0224991,9.37,,
2020-05-12T02:45:48.820Z,2.4,19.1913338,-155.4601593,35.09,,
2020-05-12T02:44:33.137Z,4.4,42.8079,145.5944,35,,
2020-05-12T02:43:49.860Z,2.19,19.2116661,-155.4309998,37.82,,
2020-05-12T02:37:08.080Z,3.57,18.9216667,-155.1786667,11.61,,
2020-05-12T02:34:04.990Z,3.51,18.9248333,-155.1883333,6.83,,
2020-05-12T02:33:53.020Z,1.56,18.9093333,-155.2103333,9.22,,
2020-05-12T02:32:01.220Z,1.25,38.8183327,-122.7943344,3.05,,
2020-05-12T02:31:44.990Z,2.14,38.8183327,-122.7939987,3.04,,
2020-05-12T02:31:11.650Z,0.9,32.9486667,-116.3363333,7.72,,
2020-05-12T02:28:41.560Z,1.64,18.9015,-155.153,10.89,,
2020-05-12T02:28:05.960Z,0.56,38.8344994,-122.8174973,1.56,,
2020-05-12T02:26:55.790Z,2.1,37.4752,-115.6733,7.3,,
2020-05-12T02:26:21.530Z,2.16,18.9021667,-155.19,10.74,,
2020-05-12T02:23:10.000Z,2.45,18.9190006,-155.2138367,7.47,,
2020-05-12T02:23:01.510Z,0.55,33.506,-116.78,6.98,,
2020-05-12T02:18:52.860Z,1.5,37.4838333,-121.802002,8.3,,
2020-05-12T02:18:52.110Z,4.6,-54.1186,3.4161,10,,
2020-05-12T02:15:05.220Z,3.71,18.9326667,-155.2161667,10.17,,
2020-05-12T02:13:34.060Z,1.41,34.9825,-116.9356667,6.06,,
2020-05-12T02:12:51.330Z,2.68,18.8951664,-155.2353363,11.44,,
2020-05-12T02:10:50.761Z,1.1,60.1845,-151.3532,45.8,,
2020-05-12T02:07:16.690Z,0.68,36.0013351,-120.5615005,1.2,,
2020-05-12T02:03:07.730Z,3.03,18.9193333,-155.211,12.35,,
2020-05-12T02:00:56.532Z,3.1,44.3094,-114.9545,10,,
2020-05-12T01:52:11.690Z,3.31,18.9143333,-155.1885,10.78,,
2020-05-12T01:48:04.580Z,1.08,35.648,-117.5726667,12.64,,
2020-05-12T01:46:26.020Z,3.38,18.9166667,-155.1641667,6.01,,
2020-05-12T01:46:15.110Z,1.25,35.7241667,-117.5678333,10.05,,
2020-05-12T01:44:08.520Z,3.31,18.9345,-155.212,10.4,,
2020-05-12T01:44:05.670Z,2.71,19.044,-155.2446667,14.63,,
2020-05-12T01:39:36.379Z,1.3,61.442,-146.67,28.5,,
2020-05-12T01:35:28.110Z,0.81,35.9926682,-120.5533371,3.28,,
2020-05-12T01:34:38.450Z,2.56,18.9111671,-155.1629944,10.98,,
2020-05-12T01:25:42.700Z,3.11,18.9161667,-155.1991667,11.65,,
2020-05-12T01:20:07.640Z,2.74,18.9158333,-155.1636667,8.96,,
2020-05-12T01:19:11.501Z,1.3,61.5935,-149.6072,26.3,,
2020-05-12T01:15:12.580Z,2.02,18.8735,-155.201,10.96,,
2020-05-12T01:10:51.550Z,2.6,18.9130001,-155.2101593,11.11,,
2020-05-12T01:04:18.470Z,2.3,18.883667,-155.2113342,11.32,,
2020-05-12T01:00:58.940Z,2.37,18.8863333,-155.2128333,11.15,,
2020-05-12T00:58:47.190Z,2.33,18.8939991,-155.1918335,7.97,,
2020-05-12T00:55:49.140Z,1.67,18.889,-155.2163333,10.59,,
2020-05-12T00:49:40.400Z,2.12,19.3126659,-155.216507,2.54,,
2020-05-12T00:43:50.876Z,3.8,50.5361,-177.6619,10,,
2020-05-12T00:33:04.760Z,1.99,18.9015007,-155.2059937,6.62,,
2020-05-12T00:30:28.700Z,2.84,18.8723333,-155.2301667,11.35,,
2020-05-12T00:28:59.470Z,2.63,18.8995,-155.2251667,11.68,,
2020-05-12T00:25:33.330Z,1.2,60.1663,-152.4152,83.5,,
2020-05-12T00:18:55.350Z,2.01,18.8794994,-155.2148285,11.03,,
2020-05-12T00:16:24.490Z,2.58,18.8828333,-155.2063333,10.81,,
2020-05-12T00:08:19.010Z,3.26,18.8705,-155.2175,10.34,,
2020-05-12T00:05:08.720Z,1.01,33.495,-116.4925,8.57,,
2020-05-12T00:00:30.910Z,0.96,33.6858333,-116.7581667,14.18,,
2020-05-12T00:00:21.051Z,1.8,60.5228,-144.4649,0,,
2020-05-12T00:00:17.810Z,2.02,18.8665009,-155.2063293,6.76,,
2020-05-11T23:58:08.970Z,2.77,18.8756667,-155.2046667,8.98,,
2020-05-11T23:57:54.500Z,2.49,18.8905,-155.2141667,10.99,,
2020-05-11T23:49:13.750Z,2.46,18.892,-155.2368333,10.52,,
2020-05-11T23:48:41.900Z,1.61,18.8823333,-155.2185,10.8,,
